130,xn--mytherwallet-fvb.com,http://xn--mytherwallet-fvb.com,ETH,Phishing,MyEtherWallet,0x00e01a648ff41346cdeb873182383333d2184dd1,Offline
1200,myetherwallet.in,http://myetherwallet.in,ETH,Phishing,MyEtherWallet,0x858457daa7e087ad74cdeeceab8419079bc2ca03,Active
6,etherswap.org,http://etherswap.org,ETH,Phishing,Ethereum,0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4,Offline
81,myetherwallet.us,http://myetherwallet.us,ETH,Phishing,MyEtherWallet,0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19,Offline
41,district0x.net,http://district0x.net,ETH,Fake ICO,district0x,0x2268751eafc860781074d25f4bd10ded480310b9,Offline
2,myelherwallel.com,http://myelherwallel.com,ETH,Phishing,MyEtherWallet,0xd0cc2b24980cbcca47ef755da88b220a82291407,Offline
1213,myetherwallet.io,http://myetherwallet.io,ETH,Phishing,MyEtherWallet,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,Offline
360,myaetherwallet.com,http://myaetherwallet.com,ETH,Phishing,MyEtherWallet,0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd,Offline
90,myetherwallet.tech,http://myetherwallet.tech,ETH,Phishing,MyEtherWallet,0xba83e9ce38b10522e3d6061a12779b7526839eda,Offline
90,myetherwallet.tech,http://myetherwallet.tech,ETH,Phishing,MyEtherWallet,0xf73ef0650415656b51be39bd5d37cf5ce03f4033,Offline
90,myetherwallet.tech,http://myetherwallet.tech,ETH,Phishing,MyEtherWallet,0xedf202629bb7e9f72d4c62c325d198513fa7a3d3,Offline
78,myetherwallet.com.im,http://myetherwallet.com.im,ETH,Phishing,MyEtherWallet,0x42c5459911ae51d1d005cbe39749bd8d8e533c22,Offline
78,myetherwallet.com.im,http://myetherwallet.com.im,ETH,Phishing,MyEtherWallet,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,Offline
78,myetherwallet.com.im,http://myetherwallet.com.im,ETH,Phishing,MyEtherWallet,0x42c5459911ae51d1d005cbe39749bd8d8e533c22,Offline
78,myetherwallet.com.im,http://myetherwallet.com.im,ETH,Phishing,MyEtherWallet,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,Offline
88,myetherwallet.com.cm,http://myetherwallet.com.cm,ETH,Phishing,MyEtherWallet,0x1d60606d8a09b5015d773a80b0c660bb8d91809c,Offline
47,contribute-status.im,http://contribute-status.im,ETH,Fake ICO,Status,0xadf5b0c2103598fb66a61714152f1d1717d49fe0,Offline
31,district-0x.io,http://district-0x.io,ETH,Fake ICO,district0x,0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d,Offline
2158,kickico.co,http://kickico.co,ETH,Phishing,KICKICO,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,Offline
2154,myehterwallet.co,http://www.myehterwallet.co,ETH,Phishing,MyEtherWallet,0x1086feeb031e45e8fcd770662aa8302d7c23ba1f,Offline
2136,numerai.tech,https://numerai.tech,ETH,Phishing,Numerai,0x89c98cc6d9917b615257e5704e83906402f0f91f,Offline
2135,OmiseGO.com,https://OmiseGO.com,ETH,Phishing,OmiseGO,0x89c98cc6d9917b615257e5704e83906402f0f91f,Offline
2135,OmiseGO.com,https://OmiseGO.com,ETH,Phishing,OmiseGO,0x4a0d27a1044dd871a93275de5109e5f5efc4d46e,Offline
2135,OmiseGO.com,https://OmiseGO.com,ETH,Phishing,OmiseGO,0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6,Offline
2135,OmiseGO.com,https://OmiseGO.com,ETH,Phishing,OmiseGO,0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7,Offline
2137,OmiseGO.net,https://OmiseGO.net,ETH,Phishing,OmiseGO,0x1e80dad60d19fb8159af3f440a8ceaa0e5581847,Offline
2137,OmiseGO.net,https://OmiseGO.net,ETH,Phishing,OmiseGO,0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6,Offline
